year,state.code,state.name,gender.female.math,gender.female.verbal,female.total.score,gender.male.math,gender.male.verbal,male.total.score
2007,MA,Massachusetts,506,511,1017,541,516,1057
2007,MI,Michigan,562,565,1127,601,571,1172
2007,MN,Minnesota,587,596,1183,623,596,1219
2007,MS,Mississippi,532,565,1097,574,573,1147
2007,MO,Missouri,578,595,1173,611,594,1205
2007,MT,Montana,527,538,1065,564,540,1104
2007,NE,Nebraska,568,576,1144,606,582,1188
2007,NV,Nevada,490,499,989,526,502,1028
2007,NH,New Hampshire,505,520,1025,540,521,1061
2007,NJ,New Jersey,495,494,989,527,498,1025
2007,NM,New Mexico,528,553,1081,568,559,1127
2007,NY,New York,490,490,980,523,494,1017
2007,NC,North Carolina,496,494,990,526,497,1023
2007,ND,North Dakota,576,583,1159,618,587,1205
2007,OH,Ohio,525,533,1058,563,539,1102
2007,OK,Oklahoma,546,577,1123,596,578,1174
2007,OR,Oregon,510,520,1030,546,525,1071
2007,PA,Pennsylvania,483,491,974,518,496,1014
2007,PR,Puerto Rico,442,474,916,455,457,912
2007,RI,Rhode Island,483,494,977,516,500,1016
2007,SC,South Carolina,483,487,970,514,490,1004
2007,SD,South Dakota,584,580,1164,625,600,1225
2007,TN,Tennessee,551,571,1122,589,576,1165
2007,TX,Texas,493,490,983,523,494,1017
2007,UT,Utah,536,559,1095,579,557,1136
2007,VT,Vermont,503,516,1019,536,517,1053
2007,VI,Virgin Islands,385,423,808,425,433,858
2007,VA,Virginia,497,511,1008,529,512,1041
2007,WA,Washington,515,525,1040,549,527,1076
2007,WV,West Virginia,487,510,997,532,523,1055
2007,WI,Wisconsin,582,589,1171,616,585,1201
2007,WY,Wyoming,557,564,1121,586,565,1151
2008,AL,Alabama,539,558,1097,580,573,1153
2008,AK,Alaska,505,521,1026,537,519,1056
2008,AZ,Arizona,506,515,1021,541,517,1058
2008,AR,Arkansas,548,569,1117,592,582,1174
2008,CA,California,497,496,993,537,503,1040
2008,CO,Colorado,555,563,1118,589,565,1154
2008,CT,Connecticut,497,507,1004,531,512,1043
2008,DE,Delaware,480,495,975,519,504,1023
2008,DC,District Of Columbia,435,459,894,479,482,961
2008,FL,Florida,482,495,977,516,498,1014
2008,GA,Georgia,479,490,969,510,493,1003
2008,HI,Hawaii,492,483,975,515,480,995
2008,ID,Idaho,525,537,1062,557,543,1100
2008,IL,Illinois,584,580,1164,622,587,1209
2008,IN,Indiana,491,492,983,528,501,1029
2008,IA,Iowa,593,601,1194,635,605,1240
2008,KS,Kansas,573,579,1152,608,581,1189
2008,KY,Kentucky,552,566,1118,588,571,1159
2008,LA,Louisiana,546,559,1105,588,576,1164
2008,ME,Maine,462,476,938,474,464,938
2008,MD,Maryland,487,497,984,521,501,1022
2008,MA,Massachusetts,508,510,1018,544,517,1061
2008,MI,Michigan,579,578,1157,620,584,1204
2008,MN,Minnesota,591,593,1184,629,599,1228
2008,MS,Mississippi,535,568,1103,583,581,1164
2008,MO,Missouri,580,594,1174,615,593,1208
2008,MT,Montana,533,538,1071,566,545,1111
2008,NE,Nebraska,570,581,1151,604,580,1184
2008,NV,Nevada,489,497,986,526,499,1025
2008,NH,New Hampshire,507,520,1027,540,523,1063
2008,NJ,New Jersey,498,493,991,530,498,1028
2008,NM,New Mexico,532,555,1087,569,560,1129
2008,NY,New York,490,486,976,521,491,1012
2008,NC,North Carolina,498,494,992,527,498,1025
2008,ND,North Dakota,582,584,1166,625,603,1228
2008,OH,Ohio,526,530,1056,564,538,1102
2008,OK,Oklahoma,552,569,1121,595,576,1171
2008,OR,Oregon,509,520,1029,548,525,1073
2008,PA,Pennsylvania,485,492,977,520,497,1017
2008,PR,Puerto Rico,452,467,919,463,452,915
2008,RI,Rhode Island,481,490,971,518,502,1020
2008,SC,South Carolina,483,485,968,515,492,1007
2008,SD,South Dakota,571,584,1155,619,607,1226
2008,TN,Tennessee,552,567,1119,589,575,1164
2008,TX,Texas,491,487,978,521,490,1011
2008,UT,Utah,537,561,1098,577,562,1139
2008,VT,Vermont,505,518,1023,543,521,1064
2008,VI,Virgin Islands,379,416,795,400,412,812
