year,state.code,state.name,gender.female.math,gender.female.verbal,female.total.score,gender.male.math,gender.male.verbal,male.total.score
2015,KY,Kentucky,565,583,1148,612,593,1205
2015,LA,Louisiana,537,551,1088,586,578,1164
2015,ME,Maine,465,476,941,479,461,940
2015,MD,Maryland,480,490,970,507,491,998
2015,MA,Massachusetts,514,512,1026,547,521,1068
2015,MI,Michigan,585,584,1169,636,604,1240
2015,MN,Minnesota,590,593,1183,627,597,1224
2015,MS,Mississippi,539,566,1105,596,599,1195
2015,MO,Missouri,585,597,1182,613,595,1208
2015,MT,Montana,542,558,1100,575,565,1140
2015,NE,Nebraska,575,586,1161,609,593,1202
2015,NV,Nevada,479,490,969,513,499,1012
2015,NH,New Hampshire,514,522,1036,548,528,1076
2015,NJ,New Jersey,507,497,1004,536,504,1040
2015,NM,New Mexico,526,546,1072,565,557,1122
2015,NY,New York,488,486,974,517,492,1009
2015,NC,North Carolina,491,494,985,520,502,1022
2015,ND,North Dakota,589,590,1179,630,606,1236
2015,OH,Ohio,545,550,1095,583,564,1147
2015,OK,Oklahoma,551,569,1120,589,583,1172
2015,OR,Oregon,503,518,1021,543,531,1074
2015,PA,Pennsylvania,489,494,983,521,504,1025
2015,PR,Puerto Rico,443,468,911,457,457,914
2015,RI,Rhode Island,481,491,972,509,497,1006
2015,SC,South Carolina,473,485,958,503,492,995
2015,SD,South Dakota,575,584,1159,623,602,1225
2015,TN,Tennessee,556,576,1132,592,586,1178
2015,TX,Texas,474,468,942,500,472,972
2015,UT,Utah,550,568,1118,601,590,1191
2015,VT,Vermont,510,521,1031,539,524,1063
2015,VI,Virgin Islands,379,408,787,401,422,823
2015,VA,Virginia,502,516,1018,532,521,1053
2015,WA,Washington,498,502,1000,525,503,1028
2015,WV,West Virginia,487,506,993,513,512,1025
2015,WI,Wisconsin,585,586,1171,627,597,1224
2015,WY,Wyoming,571,595,1166,604,582,1186
