year,state.code,state.name,female.total.score,male.total.score
2008,NV,Nevada,986,1025
2008,NH,New Hampshire,1027,1063
2008,NJ,New Jersey,991,1028
2008,NM,New Mexico,1087,1129
2008,NY,New York,976,1012
2008,NC,North Carolina,992,1025
2008,ND,North Dakota,1166,1228
2008,OH,Ohio,1056,1102
2008,OK,Oklahoma,1121,1171
2008,OR,Oregon,1029,1073
2008,PA,Pennsylvania,977,1017
2008,PR,Puerto Rico,919,915
2008,RI,Rhode Island,971,1020
2008,SC,South Carolina,968,1007
2008,SD,South Dakota,1155,1226
2008,TN,Tennessee,1119,1164
2008,TX,Texas,978,1011
2008,UT,Utah,1098,1139
2008,VT,Vermont,1023,1064
2008,VI,Virgin Islands,795,812
2008,VA,Virginia,1009,1041
2008,WA,Washington,1041,1080
2008,WV,West Virginia,994,1038
2008,WI,Wisconsin,1173,1212
2008,WY,Wyoming,1104,1167
2009,AL,Alabama,1087,1138
2009,AK,Alaska,1087,1138
2009,AZ,Arizona,1020,1059
2009,AR,Arkansas,1122,1169
2009,CA,California,991,1041
2009,CO,Colorado,1124,1164
2009,CT,Connecticut,1006,1041
2009,DE,Delaware,971,1018
2009,DC,District Of Columbia,889,949
2009,FL,Florida,977,1015
2009,GA,Georgia,964,1002
2009,HI,Hawaii,967,996
2009,ID,Idaho,1064,1101
2009,IL,Illinois,1167,1220
2009,IN,Indiana,979,1030
2009,IA,Iowa,1211,1240
2009,KS,Kansas,1153,1189
2009,KY,Kentucky,1126,1169
2009,LA,Louisiana,1088,1158
2009,ME,Maine,933,937
2009,MD,Maryland,985,1021
2009,MA,Massachusetts,1021,1060
2009,MI,Michigan,1164,1212
2009,MN,Minnesota,1188,1222
2009,MS,Mississippi,1084,1163
2009,MO,Missouri,1176,1213
2009,MT,Montana,1063,1107
2009,NE,Nebraska,1153,1216
2009,NV,Nevada,991,1022
2009,NH,New Hampshire,1025,1068
2009,NJ,New Jersey,990,1030
2009,NM,New Mexico,1075,1128
2009,NY,New York,970,1007
2009,NC,North Carolina,991,1026
2009,ND,North Dakota,1165,1203
2009,OH,Ohio,1060,1110
2009,OK,Oklahoma,1117,1179
2009,OR,Oregon,1028,1071
2009,PA,Pennsylvania,974,1018
2009,RI,Rhode Island,974,1018
2009,SC,South Carolina,965,1001
2009,SD,South Dakota,1168,1214
2009,TN,Tennessee,1111,1166
2009,TX,Texas,975,1010
2009,UT,Utah,1098,1136
2009,VT,Vermont,1021,1054
2009,VA,Virginia,1005,1043
2009,WA,Washington,1037,1077
2009,WV,West Virginia,995,1034
